"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 22:31:34 GMT 2021","Wed Aug 11 22:31:36 GMT 2021","1593","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_signin",""
"passed","Wed Aug 11 22:31:26 GMT 2021","Wed Aug 11 22:31:29 GMT 2021","2551","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_test_reg_jo",""
"passed","Wed Aug 11 22:31:16 GMT 2021","Wed Aug 11 22:31:18 GMT 2021","2475","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_registration_rossz",""
"passed","Wed Aug 11 22:32:14 GMT 2021","Wed Aug 11 22:32:22 GMT 2021","8224","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_to_file",""
"passed","Wed Aug 11 22:32:23 GMT 2021","Wed Aug 11 22:32:27 GMT 2021","4038","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_listing",""
"broken","Wed Aug 11 22:32:07 GMT 2021","Wed Aug 11 22:32:12 GMT 2021","4982","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_data_from_file",""
"passed","Wed Aug 11 22:32:29 GMT 2021","Wed Aug 11 22:32:35 GMT 2021","5956","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_pagination",""
"passed","Wed Aug 11 22:31:30 GMT 2021","Wed Aug 11 22:31:32 GMT 2021","1616","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_logout",""
"passed","Wed Aug 11 22:31:45 GMT 2021","Wed Aug 11 22:31:52 GMT 2021","7155","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_edit_a",""
"passed","Wed Aug 11 22:31:38 GMT 2021","Wed Aug 11 22:31:43 GMT 2021","5027","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_new_post",""
"passed","Wed Aug 11 22:31:54 GMT 2021","Wed Aug 11 22:32:06 GMT 2021","12223","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_del_article",""
"passed","Wed Aug 11 22:31:20 GMT 2021","Wed Aug 11 22:31:25 GMT 2021","4706","test","test_sign_up_sign_in_cookie","TestConduitakarmi","","","test_cookies",""
